,n_epochs,batch_size,h,w,lr,optimizer,momentum,device,n_gpus,kernel_size,flatten,model,num_blocks_list,is_batchnorm,total_parameters,40X,100X,200X,400X,avg_acc,all_acc,log_name,weight_decay,h_dim_list,use_pooling,num_kernel_conv_list
25,30,32,224,224,0.001,sgd,0.9,cuda:1,1,3.0,,CNN,,,193602,90.23,87.02,91.32,86.81,88.84,88.87,CNN_epoch30_lr0.001_2023-12-04_09-00-04.log,0.0,,True,"[32, 64, 64, 64]"
26,10,32,224,224,0.001,sgd,0.9,cuda:1,1,3.0,,CNN,,,193602,87.97,86.3,92.31,88.74,88.83,88.81,CNN_epoch10_lr0.001_2023-12-04_01-11-37.log,0.0,,True,"[32, 64, 64, 64]"
27,10,32,224,224,0.001,adam,0.9,cuda,2,3.0,False,resnet,"[2, 2, 2, 2]",True,11169858,87.97,87.02,91.81,85.99,88.2,88.24,resnet_epoch10_lr0.001_2023-12-02_14-33-09.log,,,,
28,10,32,224,224,0.001,sgd,0.9,cuda,2,3.0,False,resnet,"[2, 2, 2, 2]",True,11169858,86.72,86.54,91.07,88.19,88.13,88.12,resnet_epoch10_lr0.001_2023-12-02_18-54-58.log,,,,
29,10,32,224,224,0.0001,adam,0.9,cuda:1,1,3.0,,CNN,,,457730,86.97,86.3,92.06,85.71,87.76,87.8,CNN_epoch10_lr0.0001_2023-12-04_00-11-26.log,0.0,,True,"[32, 64, 64]"
30,10,32,224,224,0.0001,adam,0.9,cuda,2,3.0,False,resnet,"[2, 2, 2, 2]",False,11160258,86.72,82.69,92.56,89.01,87.74,87.67,v2_resnet_epoch10_lr0.0001_2023-12-03_13-15-22.log,,,,
31,10,32,224,224,0.001,adam,0.9,cuda,2,3.0,False,resnet,"[3, 4, 6, 3]",True,21278018,85.46,85.34,92.06,86.26,87.28,87.29,resnet_epoch10_lr0.001_2023-12-02_15-39-46.log,,,,
32,10,32,224,224,0.001,sgd,0.9,cuda:1,1,3.0,,CNN,,,457730,84.46,85.34,92.31,86.54,87.16,87.17,CNN_epoch10_lr0.001_2023-12-04_00-52-36.log,0.0,,True,"[32, 64, 64]"
33,10,32,224,224,0.0001,adam,0.9,cuda:1,1,3.0,,CNN,,,6478850,86.47,84.38,92.06,85.71,87.15,87.17,CNN_epoch10_lr0.0001_2023-12-04_00-23-49.log,0.0,,False,"[32, 64, 64]"
34,10,32,224,224,0.001,sgd,0.9,cuda,2,3.0,False,resnet,"[3, 4, 6, 3]",True,21278018,88.47,83.65,89.58,86.81,87.13,87.1,resnet_epoch10_lr0.001_2023-12-02_19-34-21.log,,,,
35,10,32,224,224,0.001,adam,0.9,cuda,2,3.0,False,resnet,"[3, 2, 3, 4]",True,21865794,87.47,86.54,91.32,82.97,87.07,87.17,resnet_epoch10_lr0.001_2023-12-02_14-55-20.log,,,,
36,10,32,224,224,0.0001,adam,0.9,cuda:1,1,3.0,,CNN,,,6515778,87.72,82.69,92.56,84.34,86.83,86.85,CNN_epoch10_lr0.0001_2023-12-04_00-42-52.log,0.0,,False,"[32, 64, 64, 64]"
37,10,32,224,224,0.0001,sgd,0.9,cuda,2,3.0,False,resnet,"[2, 2, 2, 2]",True,11169858,85.21,85.34,90.07,86.54,86.79,86.79,resnet_epoch10_lr0.0001_2023-12-02_20-19-02.log,,,,
38,10,32,224,224,1e-05,adam,0.9,cuda:1,1,3.0,,CNN,,,6515778,83.46,83.65,92.06,87.64,86.7,86.66,CNN_epoch10_lr1e-05_2023-12-04_02-37-36.log,0.0,,False,"[32, 64, 64, 64]"
39,10,32,224,224,0.0001,adam,0.9,cuda,2,3.0,False,resnet,"[3, 2, 3, 4]",False,21850818,83.96,84.13,90.82,87.64,86.64,86.6,v2_resnet_epoch10_lr0.0001_2023-12-03_13-25-24.log,,,,
40,10,32,224,224,1e-05,adam,0.9,cuda:1,1,3.0,,CNN,,,193602,83.46,83.65,92.06,87.36,86.63,86.6,CNN_epoch10_lr1e-05_2023-12-04_02-27-10.log,0.0,,True,"[32, 64, 64, 64]"
41,10,32,224,224,0.001,adam,0.9,cuda,2,3.0,False,resnet,"[3, 4, 6, 3]",True,21278018,85.96,85.1,91.07,83.52,86.41,86.47,resnet_epoch10_lr0.001_2023-12-02_15-23-13.log,,,,
42,10,32,224,224,1e-05,adam,0.9,cuda:1,1,3.0,,CNN,,,457730,82.96,83.65,91.56,87.36,86.38,86.35,CNN_epoch10_lr1e-05_2023-12-04_02-03-32.log,0.0,,True,"[32, 64, 64]"
43,10,32,224,224,0.0001,sgd,0.9,cuda,2,3.0,False,resnet,"[2, 2, 2, 2]",True,11169858,84.96,82.69,91.81,85.99,86.36,86.35,resnet_epoch10_lr0.0001_2023-12-02_20-07-42.log,,,,
44,10,32,224,224,1e-05,adam,0.9,cuda,2,3.0,False,resnet,"[3, 2, 3, 4]",False,21850818,85.46,81.49,90.57,87.64,86.29,86.22,v2_resnet_epoch10_lr1e-05_2023-12-03_14-02-51.log,,,,
45,10,32,224,224,0.001,sgd,0.9,cuda:1,1,3.0,,CNN,,,6515778,84.96,84.13,91.32,84.07,86.12,86.16,CNN_epoch10_lr0.001_2023-12-04_01-20-41.log,0.0,,False,"[32, 64, 64, 64]"
